order_id,paymentTypeId,paymentName,amount,currency,insertDate
138420147,33,Getir Online,196.11,TRY,2023-08-30T21:03:23.4
138422416,29,YS Online,573.8,TRY,2023-08-30T21:25:36.553
138423605,2,Kredi Kartı,214.9,TRY,2023-08-30T21:26:30.133
138423688,2,Kredi Kartı,208.9,TRY,2023-08-30T21:26:28.14
138430983,29,YS Online,218.9,TRY,2023-08-30T21:58:42.043
138431717,4,Smart Ticket,435.8,TRY,2023-08-30T21:58:44.02
138432383,90,Trendyol Online,218.9,TRY,2023-08-30T21:58:44.99
138432724,33,Getir Online,217.9,TRY,2023-08-30T21:58:42.89
138437181,33,Getir Online,244.9,TRY,2023-08-30T21:58:48.117
138437643,604,Token Flex,225.9,TRY,2023-08-30T22:42:37.707
138439347,90,Trendyol Online,226.9,TRY,2023-08-30T21:58:46.963
138441901,90,Trendyol Online,281.9,TRY,2023-08-30T22:42:40.19
138442961,90,Trendyol Online,197.9,TRY,2023-08-30T22:42:41.707
138445225,90,Trendyol Online,224.9,TRY,2023-08-30T23:05:54.177
138445227,90,Trendyol Online,435.8,TRY,2023-08-30T23:05:52.94
138445985,90,Trendyol Online,217.9,TRY,2023-08-30T23:05:56.587
138448028,1,Nakit,218.9,TRY,2023-08-30T23:05:52.333
138449198,2,Kredi Kartı,218.9,TRY,2023-08-30T23:05:53.58
138451508,33,Getir Online,217.9,TRY,2023-08-30T23:05:55.85
138451605,29,YS Online,437.8,TRY,2023-08-30T23:05:58.857
138451779,1,Nakit,225.9,TRY,2023-08-30T23:05:54.707
138451966,29,YS Online,218.9,TRY,2023-08-30T23:05:55.24
138453055,1,Nakit,268.8,TRY,2023-08-30T23:05:59.823
138454044,29,YS Online,349.9,TRY,2023-08-30T23:46:45.883
138454137,90,Trendyol Online,217.9,TRY,2023-08-30T23:46:48.93
138454476,33,Getir Online,236.9,TRY,2023-08-30T23:46:45.327
138456401,2,Kredi Kartı,213.9,TRY,2023-08-30T23:46:47.247
138458819,1,Nakit,277.65,TRY,2023-08-30T23:46:51.647
138462636,33,Getir Online,230.9,TRY,2023-08-31T01:31:14.833
138466103,1,Nakit,160.7,TRY,2023-08-31T01:31:08.303
138466663,2,Kredi Kartı,217.9,TRY,2023-08-31T01:31:10.027
138466895,29,YS Online,250.9,TRY,2023-08-31T01:31:09.22
138467484,2,Kredi Kartı,337.8,TRY,2023-08-31T01:31:11.123
138468022,1,Nakit,217.9,TRY,2023-08-31T01:31:13.067
138468412,90,Trendyol Online,197.9,TRY,2023-08-31T01:31:12.37
138469408,1,Nakit,297.9,TRY,2023-08-31T01:31:13.847
138471365,90,Trendyol Online,197.9,TRY,2023-08-31T01:45:34.093
138471432,29,YS Online,267.8,TRY,2023-08-31T01:51:05.75
138473105,2,Kredi Kartı,435.8,TRY,2023-08-31T02:00:03.86
138473557,90,Trendyol Online,218.9,TRY,2023-08-31T02:00:04.387
138487201,1,Nakit,195.6,TRY,2023-08-31T12:44:17.673
138487688,33,Getir Online,344.9,TRY,2023-08-31T12:44:15.627
138490223,33,Getir Online,505.8,TRY,2023-08-31T12:44:16.397
138490791,29,YS Online,270.9,TRY,2023-08-31T12:44:17.01
