order_product_id,feature_id,featureName,additionalPrice
942245115,602098,Cajun Baharatı İstiyorum,0.0
942245115,911611,CHEDDAR PEYNİRİ İSTEMİYORUM,-3.0
942245115,911613,B ÖZEL SOS İSTEMİYORUM,-1.0
942245115,911612,FÜME ET İSTEMİYORUM,-5.0
942249224,602098,Cajun Baharatı İstiyorum,0.0
942249224,602102,Normal Pişim,0.0
942270208,602096,Eldiven İstiyorum,0.0
942270208,602098,Cajun Baharatı İstiyorum,0.0
942270208,602102,Normal Pişim,0.0
942270206,602096,Eldiven İstiyorum,0.0
942270206,602098,Cajun Baharatı İstiyorum,0.0
942270206,602102,Normal Pişim,0.0
942309181,602098,Cajun Baharatı İstiyorum,0.0
942339926,602098,Cajun Baharatı İstiyorum,0.0
942339926,602102,Normal Pişim,0.0
942339926,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
942350607,602096,Eldiven İstiyorum,0.0
942350607,602098,Cajun Baharatı İstiyorum,0.0
942350607,602102,Normal Pişim,0.0
942350605,602096,Eldiven İstiyorum,0.0
942350605,602098,Cajun Baharatı İstiyorum,0.0
942350605,602102,Normal Pişim,0.0
942350605,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
942360247,602098,Cajun Baharatı İstiyorum,0.0
942360247,602102,Normal Pişim,0.0
942365269,602096,Eldiven İstiyorum,0.0
942365269,602098,Cajun Baharatı İstiyorum,0.0
942365269,602102,Normal Pişim,0.0
942389739,602096,Eldiven İstiyorum,0.0
942389739,602098,Cajun Baharatı İstiyorum,0.0
942389739,602102,Normal Pişim,0.0
942389733,602096,Eldiven İstiyorum,0.0
942389733,602098,Cajun Baharatı İstiyorum,0.0
942389733,602102,Normal Pişim,0.0
942390712,602098,Cajun Baharatı İstiyorum,0.0
942390712,602102,Normal Pişim,0.0
942390708,602098,Cajun Baharatı İstiyorum,0.0
942390708,602102,Normal Pişim,0.0
942400230,602096,Eldiven İstiyorum,0.0
942400230,602098,Cajun Baharatı İstiyorum,0.0
942400230,602102,Normal Pişim,0.0
942400228,602096,Eldiven İstiyorum,0.0
942400228,602098,Cajun Baharatı İstiyorum,0.0
942400228,602102,Normal Pişim,0.0
942419071,602098,Cajun Baharatı İstiyorum,0.0
