order_product_id,feature_id,featureName,additionalPrice
951565912,602098,Cajun Baharatı İstiyorum,0.0
951565912,602096,Eldiven İstiyorum,0.0
951565912,602102,Normal Pişim,0.0
951572905,602098,Cajun Baharatı İstiyorum,0.0
951572905,602102,Normal Pişim,0.0
951572908,602098,Cajun Baharatı İstiyorum,0.0
951572908,602102,Normal Pişim,0.0
951589963,602098,Cajun Baharatı İstiyorum,0.0
951589963,602102,Normal Pişim,0.0
951589957,602098,Cajun Baharatı İstiyorum,0.0
951589957,602102,Normal Pişim,0.0
951653314,602096,Eldiven İstiyorum,0.0
951653314,602098,Cajun Baharatı İstiyorum,0.0
951653319,602098,Cajun Baharatı İstiyorum,0.0
951653319,602102,Normal Pişim,0.0
951682004,602098,Cajun Baharatı İstiyorum,0.0
951682004,602102,Normal Pişim,0.0
951692066,602098,Cajun Baharatı İstiyorum,0.0
951699048,602098,Cajun Baharatı İstiyorum,0.0
951699048,602102,Normal Pişim,0.0
951704183,602096,Eldiven İstiyorum,0.0
951704183,602098,Cajun Baharatı İstiyorum,0.0
951704183,602102,Normal Pişim,0.0
951704180,602096,Eldiven İstiyorum,0.0
951704180,602098,Cajun Baharatı İstiyorum,0.0
951704180,602102,Normal Pişim,0.0
951711589,602096,Eldiven İstiyorum,0.0
951711589,602098,Cajun Baharatı İstiyorum,0.0
951711589,602102,Normal Pişim,0.0
951711601,602096,Eldiven İstiyorum,0.0
951711601,602098,Cajun Baharatı İstiyorum,0.0
951711601,602102,Normal Pişim,0.0
951711595,602096,Eldiven İstiyorum,0.0
951711595,602098,Cajun Baharatı İstiyorum,0.0
951711595,602102,Normal Pişim,0.0
951711605,602096,Eldiven İstiyorum,0.0
951711605,602098,Cajun Baharatı İstiyorum,0.0
951711605,602102,Normal Pişim,0.0
951743100,602098,Cajun Baharatı İstiyorum,0.0
951753752,602098,Cajun Baharatı İstiyorum,0.0
951753747,602096,Eldiven İstiyorum,0.0
951753743,602098,Cajun Baharatı İstiyorum,0.0
