order_id,order_product_id,product_id,productName,quantity,unitPrice,totalAmount,category,isMenu,parentId,discount
292453842,957484263,987154,BBQ Burger Menü,1.0,399.9,399.9,Burger Menüler,True,,0.0
292453842,957484264,356499,Susurluk Ayranı (250 ml),1.0,0.0,0.0,İçecekler,False,957484263,0.0
292457101,957493773,6201435,Truffles Burger Menü,1.0,419.9,419.9,Burger Menüler,True,,0.0
292457101,957493774,383290,COLA ŞEKERSİZ,1.0,0.0,0.0,İçecekler,False,957493773,0.0
292457101,957493778,1292025,Cajun Soslu Patates Kızartması,1.0,89.9,89.9,Extralar,False,,0.0
292457946,957496351,6606310,Burgerator Burger (100 gr.) Menü,1.0,524.9,524.9,DeliveryHero,True,,0.0
292457946,957496352,6606311,Burger,1.0,0.0,0.0,DeliveryHero,False,957496351,0.0
292457946,957496353,6611030,"Susurluk Ayran (24,5 cl.)",1.0,0.0,0.0,DeliveryHero,False,957496351,0.0
292457946,957496354,6606434,Truffles Burger (100 gr.) Menü,1.0,534.9,534.9,DeliveryHero,True,,0.0
292457946,957496355,6606311,Burger,1.0,0.0,0.0,DeliveryHero,False,957496354,0.0
292457946,957496356,6611030,"Susurluk Ayran (24,5 cl.)",1.0,0.0,0.0,DeliveryHero,False,957496354,0.0
292457946,957496357,6616424,Truffles Burger (140 gr.) Menü,1.0,604.9,604.9,DeliveryHero,True,,0.0
292457946,957496358,6606311,Burger,1.0,0.0,0.0,DeliveryHero,False,957496357,0.0
292457946,957496359,6611030,"Susurluk Ayran (24,5 cl.)",1.0,0.0,0.0,DeliveryHero,False,957496357,0.0
292460883,957505114,5324717,Burgerator Burger (100 g) Menü,1.0,494.9,494.9,Entegrasyon,True,,0.0
292460883,957505115,6204199,Karamelize Soğan,1.0,0.0,0.0,GetirYemek,False,957505114,0.0
292460883,957505116,6205262,Cheddar Peynir,1.0,0.0,0.0,GetirYemek,False,957505114,0.0
292460883,957505117,6205264,B Özel Sos,1.0,0.0,0.0,GetirYemek,False,957505114,0.0
292460883,957505118,5324783,Sprite (330 ml),1.0,0.0,0.0,Entegrasyon,False,957505114,0.0
292460883,957505120,5324790,Ketçap,3.0,4.0,12.0,Entegrasyon,False,,0.0
292460883,957505121,5324776,Soğan Halkası,1.0,99.9,99.9,Entegrasyon,False,,0.0
