order_id,paymentTypeId,paymentName,amount,currency,insertDate
261445585,29,YS Online,1210.99,TRY,2025-02-02T16:40:51.693
261446328,53330,Edenred Online,405.91,TRY,2025-02-02T16:40:52.37
261448401,26,Metropol,673.71,TRY,2025-02-02T16:40:51.137
261449936,90,Trendyol Online,848.52,TRY,2025-02-02T16:40:54.24
261451004,33,Getir Online,855.8,TRY,2025-02-02T16:40:53.547
261452981,29,YS Online,518.4,TRY,2025-02-02T16:40:56.593
261455883,33,Getir Online,1402.6,TRY,2025-02-02T16:41:01.413
261456029,604,Token Flex,807.33,TRY,2025-02-02T16:40:57.187
261456604,91,Pluxee (Sodexo) Pass Mobil,463.16,TRY,2025-02-02T16:41:03.427
261456692,4,Smart Ticket,1992.82,TRY,2025-02-02T16:00:09.69
261457176,26,Metropol,790.33,TRY,2025-02-02T16:41:00.763
261457430,29,YS Online,463.16,TRY,2025-02-02T16:41:02.363
261460349,29,YS Online,406.13,TRY,2025-02-02T16:40:57.763
261460958,29,YS Online,926.33,TRY,2025-02-02T16:40:58.397
261465006,5,SetCard,405.03,TRY,2025-02-02T16:41:04.283
261465882,52945,Edenred,885.57,TRY,2025-02-02T16:41:05.213
261465886,90,Trendyol Online,429.66,TRY,2025-02-02T16:41:06.353
261468746,90,Trendyol Online,429.66,TRY,2025-02-02T16:41:07.267
261468849,33,Getir Online,1119.7,TRY,2025-02-02T16:41:09.64
261469293,4,Smart Ticket,349.6,TRY,2025-02-02T16:39:16.597
261469644,3,Multinet,463.16,TRY,2025-02-02T16:41:08.64
261471711,33,Getir Online,426.8,TRY,2025-02-02T16:53:44.977
261475095,41,Pluxee (Sodexo) Online,429.66,TRY,2025-02-02T16:41:12.457
261476075,33,Getir Online,1966.5,TRY,2025-02-02T16:53:42.643
261476204,3,Multinet,339.9,TRY,2025-02-02T16:53:39.83
261477967,33,Getir Online,719.8,TRY,2025-02-02T17:27:46.147
261479903,4,Smart Ticket,497.08,TRY,2025-02-02T16:50:18.763
261481852,574,Multinet Online,396.41,TRY,2025-02-02T16:53:37.777
261483304,1,Nakit,349.6,TRY,2025-02-02T16:47:17.1
261484442,2,Kredi Kartı,677.2,TRY,2025-02-02T16:53:41.213
261485319,2,Kredi Kartı,1043.1,TRY,2025-02-02T16:57:16.57
261488442,2,Kredi Kartı,394.9,TRY,2025-02-02T17:02:38.56
261489718,33,Getir Online,729.8,TRY,2025-02-02T17:27:47.223
261490831,1,Nakit,1237.34,TRY,2025-02-02T17:30:09.007
261491596,33,Getir Online,729.8,TRY,2025-02-02T17:37:06.327
261493060,1,Nakit,359.9,TRY,2025-02-02T17:36:57.213
261495084,2,Kredi Kartı,1079.7,TRY,2025-02-02T17:23:46.357
261495608,33,Getir Online,329.9,TRY,2025-02-02T17:29:44.75
261496519,2,Kredi Kartı,734.5,TRY,2025-02-02T17:29:46.893
261499941,3,Multinet,463.16,TRY,2025-02-02T17:37:08.453
261500123,33,Getir Online,729.8,TRY,2025-02-02T17:29:48.68
261500361,53330,Edenred Online,463.16,TRY,2025-02-02T17:37:07.237
261502032,29,YS Online,402.07,TRY,2025-02-02T17:29:54.327
261503139,574,Multinet Online,479.06,TRY,2025-02-02T18:04:55.3
261504726,53330,Edenred Online,405.91,TRY,2025-02-02T17:37:09.623
261504959,29,YS Online,395.16,TRY,2025-02-02T18:04:54.61
261507136,90,Trendyol Online,396.41,TRY,2025-02-02T17:37:11.273
261507988,29,YS Online,395.16,TRY,2025-02-02T18:04:58.507
261510001,5,SetCard,402.9,TRY,2025-02-02T18:05:01.753
261510396,3,Multinet,395.16,TRY,2025-02-02T18:05:04.063
261511035,29,YS Online,790.33,TRY,2025-02-02T18:41:56.347
261511063,90,Trendyol Online,970.97,TRY,2025-02-02T18:05:05.003
261512959,29,YS Online,475.0,TRY,2025-02-02T18:05:06.64
261514932,2,Kredi Kartı,1069.4,TRY,2025-02-02T18:04:21.773
261516244,29,YS Online,1040.91,TRY,2025-02-02T18:05:09.387
261516703,29,YS Online,948.55,TRY,2025-02-02T18:41:57.47
261516934,90,Trendyol Online,396.41,TRY,2025-02-02T18:41:56.913
261519322,90,Trendyol Online,467.66,TRY,2025-02-02T18:41:58.087
261519687,29,YS Online,911.8,TRY,2025-02-02T18:42:04.013
261520757,2,Kredi Kartı,2258.5,TRY,2025-02-02T18:41:58.59
