order_product_id,feature_id,featureName,additionalPrice
957484263,602098,Cajun Baharatı İstiyorum,0.0
957484263,602102,Normal Pişim,0.0
957493773,602098,Cajun Baharatı İstiyorum,0.0
957493773,602102,Normal Pişim,0.0
957493773,602096,Eldiven İstiyorum,0.0
957506058,602098,Cajun Baharatı İstiyorum,0.0
957506058,602102,Normal Pişim,0.0
957526240,602098,Cajun Baharatı İstiyorum,0.0
957526240,602096,Eldiven İstiyorum,0.0
957526240,602102,Normal Pişim,0.0
957526242,602098,Cajun Baharatı İstiyorum,0.0
957526242,602102,Normal Pişim,0.0
957620940,602096,Eldiven İstiyorum,0.0
957630277,602098,Cajun Baharatı İstiyorum,0.0
957661735,602098,Cajun Baharatı İstiyorum,0.0
957674005,602098,Cajun Baharatı İstiyorum,0.0
957674005,602102,Normal Pişim,0.0
957675086,602098,Cajun Baharatı İstiyorum,0.0
957675086,602096,Eldiven İstiyorum,0.0
957675086,602102,Normal Pişim,0.0
957675084,602096,Eldiven İstiyorum,0.0
957675084,602098,Cajun Baharatı İstiyorum,0.0
957675084,602102,Normal Pişim,0.0
957675084,911612,FÜME ET İSTEMİYORUM,-5.0
957689027,602098,Cajun Baharatı İstiyorum,0.0
957689027,602102,Normal Pişim,0.0
957689024,602098,Cajun Baharatı İstiyorum,0.0
957689024,602102,Normal Pişim,0.0
957698001,602102,Normal Pişim,0.0
957698001,602098,Cajun Baharatı İstiyorum,0.0
957757179,602098,Cajun Baharatı İstiyorum,0.0
957757179,602102,Normal Pişim,0.0
957757179,911609,ET EKMEK ÇOCUK MENÜ,-15.0
957788657,602098,Cajun Baharatı İstiyorum,0.0
957788657,602102,Normal Pişim,0.0
957788654,602098,Cajun Baharatı İstiyorum,0.0
957788654,602102,Normal Pişim,0.0
957794645,602098,Cajun Baharatı İstiyorum,0.0
957794645,602102,Normal Pişim,0.0
957794645,602096,Eldiven İstiyorum,0.0
957794640,602098,Cajun Baharatı İstiyorum,0.0
957794640,602096,Eldiven İstiyorum,0.0
957794640,602102,Normal Pişim,0.0
957807018,602098,Cajun Baharatı İstiyorum,0.0
957807018,602102,Normal Pişim,0.0
957807018,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
957807014,602102,Normal Pişim,0.0
957807014,602098,Cajun Baharatı İstiyorum,0.0
957837438,602098,Cajun Baharatı İstiyorum,0.0
957837438,602102,Normal Pişim,0.0
957837428,602098,Cajun Baharatı İstiyorum,0.0
957837428,602102,Normal Pişim,0.0
957837428,911612,FÜME ET İSTEMİYORUM,-5.0
957846859,602098,Cajun Baharatı İstiyorum,0.0
957846859,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
957846859,911612,FÜME ET İSTEMİYORUM,-5.0
957846859,911613,B ÖZEL SOS İSTEMİYORUM,-1.0
957846857,602098,Cajun Baharatı İstiyorum,0.0
957862808,602096,Eldiven İstiyorum,0.0
957862808,602098,Cajun Baharatı İstiyorum,0.0
957862808,602102,Normal Pişim,0.0
957862808,911612,FÜME ET İSTEMİYORUM,-5.0
957873722,602098,Cajun Baharatı İstiyorum,0.0
957873722,602102,Normal Pişim,0.0
957873717,602096,Eldiven İstiyorum,0.0
957873717,602098,Cajun Baharatı İstiyorum,0.0
957873717,602102,Normal Pişim,0.0
957915415,602098,Cajun Baharatı İstiyorum,0.0
957915415,602102,Normal Pişim,0.0
957933368,602096,Eldiven İstiyorum,0.0
957933368,602098,Cajun Baharatı İstiyorum,0.0
957933368,602102,Normal Pişim,0.0
957934232,602098,Cajun Baharatı İstiyorum,0.0
957934232,602102,Normal Pişim,0.0
957942157,911609,ET EKMEK ÇOCUK MENÜ,-15.0
957956824,602098,Cajun Baharatı İstiyorum,0.0
