order_product_id,feature_id,featureName,additionalPrice
966987842,602098,Cajun Baharatı İstiyorum,0.0
966987842,602102,Normal Pişim,0.0
967055151,602102,Normal Pişim,0.0
967055151,602099,CAJUN BAHARATI İSTEMİYORUM,0.0
967071985,602098,Cajun Baharatı İstiyorum,0.0
967071985,602102,Normal Pişim,0.0
967071976,602098,Cajun Baharatı İstiyorum,0.0
967071976,602102,Normal Pişim,0.0
967071976,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
967086445,602098,Cajun Baharatı İstiyorum,0.0
967086445,602102,Normal Pişim,0.0
967086443,602098,Cajun Baharatı İstiyorum,0.0
967086443,602102,Normal Pişim,0.0
967086443,602096,Eldiven İstiyorum,0.0
967134125,602098,Cajun Baharatı İstiyorum,0.0
967134125,602102,Normal Pişim,0.0
967134125,911609,ET EKMEK ÇOCUK MENÜ,-15.0
967166430,602098,Cajun Baharatı İstiyorum,0.0
967166430,602102,Normal Pişim,0.0
967189243,602098,Cajun Baharatı İstiyorum,0.0
967189243,602102,Normal Pişim,0.0
967189243,911609,ET EKMEK ÇOCUK MENÜ,-15.0
967216872,602098,Cajun Baharatı İstiyorum,0.0
967216872,602102,Normal Pişim,0.0
967220414,602098,Cajun Baharatı İstiyorum,0.0
967220414,602102,Normal Pişim,0.0
967220414,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
967220418,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
967220418,911612,FÜME ET İSTEMİYORUM,-5.0
967220418,911613,B ÖZEL SOS İSTEMİYORUM,-1.0
967223252,602098,Cajun Baharatı İstiyorum,0.0
967223252,602102,Normal Pişim,0.0
967223254,602098,Cajun Baharatı İstiyorum,0.0
967223254,602102,Normal Pişim,0.0
967228803,602098,Cajun Baharatı İstiyorum,0.0
967228803,602096,Eldiven İstiyorum,0.0
967228803,602102,Normal Pişim,0.0
967228803,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
967228798,602098,Cajun Baharatı İstiyorum,0.0
967228798,602102,Normal Pişim,0.0
967228798,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
967228806,602098,Cajun Baharatı İstiyorum,0.0
967228806,602096,Eldiven İstiyorum,0.0
967228806,602102,Normal Pişim,0.0
