order_id,order_product_id,product_id,productName,quantity,unitPrice,totalAmount,category,isMenu,parentId,discount
292278663,956849404,6198882,Sos İstemiyorum,1.0,0.0,0.0,Trendyol,False,956849403,0.0
292278663,956849406,6198884,Normal Pişmiş,1.0,0.0,0.0,Trendyol,False,956849403,0.0
292279687,956852898,6606311,Burger,2.0,0.0,0.0,DeliveryHero,False,956852897,0.0
292279687,956852899,6606312,Coca-Cola (33 cl.),2.0,0.0,0.0,DeliveryHero,False,956852897,0.0
292279687,956852896,6606312,Coca-Cola (33 cl.),2.0,79.9,159.8,DeliveryHero,False,,0.0
292279687,956852897,6606452,Burgerator Burger (200 gr.) Menü,2.0,674.9,1349.8,DeliveryHero,True,,0.0
292279687,956852894,6606454,Cajun Soslu Patates Kızartması,1.0,109.9,109.9,DeliveryHero,False,,0.0
292279687,956852895,6610118,Soğan Halkası,1.0,109.9,109.9,DeliveryHero,False,,0.0
292279955,956853726,6606311,Burger,2.0,0.0,0.0,DeliveryHero,False,956853725,0.0
292279955,956853725,6606434,Truffles Burger (100 gr.) Menü,2.0,534.9,1069.8,DeliveryHero,True,,0.0
292279955,956853727,6606455,Coca-Cola Zero Sugar (33 cl.),2.0,0.0,0.0,DeliveryHero,False,956853725,0.0
292281005,956857220,6606310,Burgerator Burger (100 gr.) Menü,1.0,536.9,536.9,DeliveryHero,True,,0.0
292281005,956857221,6606311,Burger,1.0,0.0,0.0,DeliveryHero,False,956857220,0.0
292281005,956857222,6606455,Coca-Cola Zero Sugar (33 cl.),1.0,0.0,0.0,DeliveryHero,False,956857220,0.0
292281348,956858393,6606311,Burger,2.0,0.0,0.0,DeliveryHero,False,956858391,0.0
292281348,956858384,6606311,Burger,2.0,0.0,0.0,DeliveryHero,False,956858383,0.0
292281348,956858386,6606312,Coca-Cola (33 cl.),2.0,0.0,0.0,DeliveryHero,False,956858383,0.0
292281348,956858391,6606434,Truffles Burger (100 gr.) Menü,2.0,534.9,1069.8,DeliveryHero,True,,0.0
292281348,956858383,6606434,Truffles Burger (100 gr.) Menü,2.0,534.9,1069.8,DeliveryHero,True,,0.0
292281348,956858394,6606690,Lipton Ice Tea (33 cl.),2.0,0.0,0.0,DeliveryHero,False,956858391,0.0
292282224,956861373,6606310,Burgerator Burger (100 gr.) Menü,1.0,524.9,524.9,DeliveryHero,True,,0.0
292282224,956861374,6606311,Burger,1.0,0.0,0.0,DeliveryHero,False,956861373,0.0
292282224,956861376,6611030,"Susurluk Ayran (24,5 cl.)",1.0,0.0,0.0,DeliveryHero,False,956861373,0.0
292282830,956863305,356491,Coca Cola (330 ml),1.0,0.0,0.0,İçecekler,False,956863304,0.0
292282830,956863304,980599,Burgerator Burger Menü,1.0,399.6,384.6,Burger Menüler,True,,0.0
292283632,956865969,6606311,Burger,1.0,0.0,0.0,DeliveryHero,False,956865968,0.0
292283632,956865968,6606434,Truffles Burger (100 gr.) Menü,1.0,534.9,534.9,DeliveryHero,True,,0.0
292283632,956865973,6606542,Hot Chili Sos,1.0,12.9,12.9,DeliveryHero,False,,0.0
292283632,956865972,6606543,Ballı Hardal Sos,1.0,12.9,12.9,DeliveryHero,False,,0.0
292283632,956865970,6611030,"Susurluk Ayran (24,5 cl.)",1.0,0.0,0.0,DeliveryHero,False,956865968,0.0
292283632,956865971,6612346,Ranch Sos,1.0,12.9,12.9,DeliveryHero,False,,0.0
292283632,956865974,6612472,Garlic Sos,1.0,12.9,12.9,DeliveryHero,False,,0.0
292284349,956868433,5324717,Burgerator Burger (100 g) Menü,1.0,529.9,529.9,Entegrasyon,True,,0.0
292284349,956868434,6198882,Sos İstemiyorum,1.0,0.0,0.0,Trendyol,False,956868433,0.0
292284349,956868436,6198884,Normal Pişmiş,1.0,0.0,0.0,Trendyol,False,956868433,0.0
292284349,956868435,6201014,Sprite (33 cl.),1.0,0.0,0.0,Trendyol,False,956868433,0.0
292284708,956869627,6606310,Burgerator Burger (100 gr.) Menü,1.0,524.9,524.9,DeliveryHero,True,,0.0
292284708,956869629,6606311,Burger,1.0,0.0,0.0,DeliveryHero,False,956869627,0.0
292284708,956869631,6611030,"Susurluk Ayran (24,5 cl.)",1.0,0.0,0.0,DeliveryHero,False,956869627,0.0
292286215,956874807,5324717,Burgerator Burger (100 g) Menü,1.0,494.9,494.9,Entegrasyon,True,,0.0
292286215,956874814,5324724,Anadolu Burger (100 g) Menü,1.0,562.9,562.9,Entegrasyon,True,,0.0
292286215,956874817,5324777,Cajun Soslu Patates Kızartması,2.0,99.9,199.8,Entegrasyon,False,,0.0
292286215,956874815,5324785,Lipton Ice Tea (330 ml),1.0,0.0,0.0,Entegrasyon,False,956874814,0.0
292286215,956874810,5324785,Lipton Ice Tea (330 ml),1.0,0.0,0.0,Entegrasyon,False,956874807,0.0
292286215,956874816,6200431,Lipton Ice Tea Limon (330 ml),1.0,0.0,0.0,GetirYemek,False,956874814,0.0
292286215,956874808,6204199,Karamelize Soğan,1.0,0.0,0.0,GetirYemek,False,956874807,0.0
292286215,956874809,6205264,B Özel Sos,1.0,0.0,0.0,GetirYemek,False,956874807,0.0
292286215,956874811,6211210,Lipton Ice Tea Mango (330 ml),1.0,0.0,0.0,GetirYemek,False,956874807,0.0
292286505,956875777,356491,Coca Cola (330 ml),1.0,0.0,0.0,İçecekler,False,956875774,0.0
292286505,956875781,356491,Coca Cola (330 ml),1.0,0.0,0.0,İçecekler,False,956875778,0.0
292286505,956875774,5324721,Burgerator Burger (140 g) Menü,1.0,564.91,564.91,Entegrasyon,True,,0.0
292286505,956875778,5324740,Burgerator Burger (200 g) Menü,1.0,629.8,629.8,Entegrasyon,True,,0.0
292286505,956875779,6198882,Sos İstemiyorum,1.0,0.0,0.0,Trendyol,False,956875778,0.0
292286505,956875775,6198882,Sos İstemiyorum,1.0,0.0,0.0,Trendyol,False,956875774,0.0
292286505,956875780,6198884,Normal Pişmiş,1.0,0.0,0.0,Trendyol,False,956875778,0.0
292286505,956875776,6200199,Orta Pişmiş,1.0,0.0,0.0,Trendyol,False,956875774,0.0
292286774,956876747,383291,ICE TEA ŞEFTALİ,1.0,0.0,0.0,İçecekler,False,956876745,0.0
292286774,956876759,383291,ICE TEA ŞEFTALİ,1.0,0.0,0.0,İçecekler,False,956876758,0.0
292286774,956876758,980599,Burgerator Burger Menü,1.0,399.6,393.6,Burger Menüler,True,,0.0
292286774,956876745,980599,Burgerator Burger Menü,1.0,399.6,398.6,Burger Menüler,True,,0.0
292287844,956880529,5324777,Cajun Soslu Patates Kızartması,4.0,99.9,399.6,Entegrasyon,False,,0.0
292289973,956887818,6606311,Burger,1.0,0.0,0.0,DeliveryHero,False,956887817,0.0
292289973,956887820,6606312,Coca-Cola (33 cl.),1.0,0.0,0.0,DeliveryHero,False,956887817,0.0
292289973,956887817,6607382,Burgerator Burger (140 gr.) Menü,1.0,604.9,604.9,DeliveryHero,True,,0.0
292289973,956887821,6610098,Trüff Mantar Sos,1.0,19.9,19.9,DeliveryHero,False,,0.0
